SYMPTOMS,REASON,SUB_COMMODITY,BusinessSegment,ProductCategory,ProductGroup,FamilyGroup,FormFactor,Supplier,Family,ProcessorSupplier,ProcessorSocketCount,REGION,CASE_COUNTRY,COMMODITY
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,EMEA,United Arab Emirates,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,OTHER,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,USA,Non SystemBoard Issue
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AM,Chile,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,EMEA,Sweden,SYSTEM BOARD
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,USA,Non SystemBoard Issue
Port not Working - NIC,Device Not detected/Accessible/Available,CONNECTOR/PORT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AM,USA,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Remote Management - Management Processor Failure,iLO failure or error,REMOTE MANAGEMENT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AM,USA,SYSTEM BOARD
No Boot - Blinking Health LED,No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,China Peoples Republic Of,SYSTEM BOARD
Runtime - OS Crash (xSOD Crash),Error warning reported by the system,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
No Boot - Blinking Health LED,No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Port not Working - USB,System Board failure or error,CONNECTOR/PORT,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Miscellaneous PCA Issues - Defective ROM,Error warning reported by the system,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,No boot/No Video,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
OS error message(s),System reboots,ROM-Legacy,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
OS error message(s),Hangs,ROM-Legacy,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,EMEA,Italy,Non SystemBoard Issue
OS error message(s),Hangs,OTHER,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,EMEA,Germany,Non SystemBoard Issue
OS error message(s),Reason provided but not in list,OTHER,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,Non SystemBoard Issue
time offset,Configuration Issue,ROM-Legacy,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Colombia,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AP,China Peoples Republic Of,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,Non SystemBoard Issue
Blue Screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Argentina,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AP,China Peoples Republic Of,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,CRITICAL ERROR,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,Non SystemBoard Issue
Windows bug check error,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
OS error message(s),No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,Argentina,Non SystemBoard Issue
Windows bug check error,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AP,Philippines,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,India,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,EMEA,France,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Australia,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Missing Data,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,EMEA,France,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
Blue screen,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML150,Tower,Wistron,ML150 Gen9,Intel,2,EMEA,France,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Density Optimized,Density Optimized,Hyperscale XL,Apollo 2000,Density Optimized,FoxConn,Apollo 2000 r2800,Intel,2,AM,USA,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Indonesia,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Switzerland,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Denmark,Non SystemBoard Issue
BSOD,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,EMEA,Poland,Non SystemBoard Issue
time offset,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Missing Data,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
Windows bug check error,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
blue screen ,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
time offset,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Netherlands,Non SystemBoard Issue
OS hang/unresponsive,Slow or degraded performance,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Turkey,Non SystemBoard Issue
Blue screen ,Blue/Red/Purple/black screen,Missing Data,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
OS error message(s),System shuts down,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),System reboots,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS error message(s),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML150,Tower,Wistron,ML150 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
Windows bug check error,System reboots,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
Windows bug check error,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
time offset,Hangs,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,Non SystemBoard Issue
Windows bug check error,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS error caused system to reboot/restart,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),System reboots,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,Peru,Non SystemBoard Issue
Windows bug check error,FW/SW/Driver load or update issue,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
time offset,Error warning reported by the system,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS error caused system to reboot/restart,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,United Arab Emirates,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,France,Non SystemBoard Issue
BSOD,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,France,Non SystemBoard Issue
time offset,Error warning reported by the system,ROM-UEFI,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
time offset,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,Unknown,Unknown,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,Germany,Non SystemBoard Issue
host's unresponsiveness occurs. ,System shuts down,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
time offset,Configuration Issue,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
OS error message(s),Processor failure or error,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Portugal,Non SystemBoard Issue
OS error message(s),FW/SW/Driver load or update issue,VMWare,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Oman,Non SystemBoard Issue
OS error message(s),No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Germany,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Netherlands,Non SystemBoard Issue
OS error caused system to reboot/restart,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Denmark,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,United Arab Emirates,Non SystemBoard Issue
time offset,Configuration Issue,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
time offset,Error warning reported by the system,ROM-UEFI,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Switzerland,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Netherlands,Non SystemBoard Issue
Windows bug check error,FW/SW/Driver load or update issue,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Ukraine,Non SystemBoard Issue
OS error caused system to reboot/restart,No boot/No Video,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Turkey,Non SystemBoard Issue
OS error message(s),Error warning reported by the system,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Denmark,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Italy,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,South Africa Republic of,Non SystemBoard Issue
OS hang/unresponsive,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,Germany,Non SystemBoard Issue
OS hang/unresponsive,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Ireland,Non SystemBoard Issue
OS hang/unresponsive,Hangs,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Turkey,Non SystemBoard Issue
OS hang/unresponsive,Hangs,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Spain,Non SystemBoard Issue
Miscellaneous PCA Issues - PCA Replaced for SW Issue,System Board failure or error,MISCELLANEOUS PCA ISSUES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Port not Working - SD Card,Device Not detected/Accessible/Available,CONNECTOR/PORT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Port not Working - USB,System Board failure or error,CONNECTOR/PORT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),Error warning reported by the system,PROCESSOR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Miscellaneous PCA Issues - Defective ROM,Reason provided but not in list,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,Device Not detected/Accessible/Available,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Runtime - Random Reboots (ASR),System Board failure or error,RUNTIME FAILURES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Runtime - System Hang,No boot/No Video,RUNTIME FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
LED/Sensor - Temperature Sensor Failure or obviously inaccurate reading,No boot/No Video,LED/SENSOR,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
LED/Sensor - Temperature Sensor Failure or obviously inaccurate reading,No boot/No Video,LED/SENSOR,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Singapore,SYSTEM BOARD
No Boot - Red Health LED,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Critical Error - NMI,System Board failure or error,CRITICAL ERROR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,India,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Memory - DIMM LEDs Lit (Server Boots),Memory DIMM failure/uncorrectable memory error/correctable threshold exceeded,MEMORY,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Runtime - Random Reboots (ASR),System reboots,RUNTIME FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),System reboots,PROCESSOR,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,SYSTEM BOARD
Miscellaneous PCA Issues - Defective ROM,System Board failure or error,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
